Ziel,Zielort_Besucherzahl,Zielort_Topteam,Zielort_Hotelkosten,Zielort_Ticketkosten,Zielort_Nachtleben,Zielort_Jahre in der 1.Bundesliga,Zielort_Trophen letzten 5 Jahre,User_Budget,User_Max. Distanz,User_Entertainment Fussballfan,User_Traditionsfussballfan,Entfernung_km,Bewertung
1 Berlin,22000,Mittel,105,Mittel,Hoch,5,0,600,450,Mittel,Mittel,0,2
2 Bremen,42000,Mittel,88,Niedrig,Mittel,59,4,530,550,Mittel,Mittel,399,3
3 Wolfsburg,30000,Mittel,89,Niedrig,Mittel,27,1,550,600,Mittel,Mittel,230,3
4 Leipzig,42000,Hoch,86,Hoch,Mittel,8,0,750,500,Hoch,Mittel,190,4
5 Bochum,27000,Niedrig,81,Niedrig,Mittel,37,0,470,700,Niedrig,Mittel,517,2
6 Mönchengladbach,54000,Hoch,76,Mittel,Mittel,56,3,650,400,Mittel,Hoch,566,3
7 Leverkusen,30000,Mittel,79,Mittel,Niedrig,45,1,650,350,Hoch,Hoch,573,3
8 Dortmund,81000,Hoch,78,Hoch,Mittel,57,5,800,700,Hoch,Hoch,495,4
9 Köln,50000,Mittel,99,Mittel,Hoch,52,0,560,450,Mittel,Mittel,575,4
10 Frankfurt,52000,Hoch,94,Mittel,Hoch,55,1,700,550,Mittel,Hoch,545,5
11 Mainz,34000,Niedrig,85,Mittel,Niedrig,18,0,480,500,Mittel,Mittel,557,3
12 Darmstadt,17000,Niedrig,82,Niedrig,Mittel,5,0,420,650,Niedrig,Niedrig,525,1
13 Sinsheim,30000,Niedrig,72,Mittel,Mittel,16,0,500,500,Mittel,Mittel,593,2
14 Stuttgart,50000,Mittel,91,Mittel,Mittel,57,3,580,550,Mittel,Mittel,632,4
15 Freiburg,24000,Mittel,102,Mittel,Niedrig,24,0,500,650,Mittel,Hoch,801,3
16 Heidenheim,15000,Niedrig,69,Niedrig,Mittel,1,0,400,700,Niedrig,Niedrig,595,1
17 Augsburg,30000,Niedrig,84,Niedrig,Mittel,13,0,450,800,Niedrig,Mittel,586,2
18 München,75000,Hoch,292,Hoch,Hoch,59,30,1200,1000,Hoch,Hoch,584,5
